epoch	train_logloss	val_logloss	train_error	val_error
0	0.5011	0.5039	0.2126	0.2141
1	0.4853	0.4898	0.2126	0.2141
2	0.4676	0.4743	0.2126	0.2141
3	0.4530	0.4600	0.2126	0.2141
4	0.4392	0.4486	0.2126	0.2141
5	0.4249	0.4349	0.2126	0.2141
6	0.4114	0.4241	0.2126	0.2141
7	0.3989	0.4126	0.2126	0.2141
8	0.3872	0.4017	0.2126	0.2141
9	0.3765	0.3917	0.2126	0.2141
10	0.3669	0.3820	0.2126	0.2141
11	0.3568	0.3728	0.2126	0.2141
12	0.3476	0.3641	0.2126	0.2141
13	0.3387	0.3555	0.2126	0.2141
14	0.3302	0.3476	0.2126	0.2141
15	0.3217	0.3399	0.2126	0.2141
16	0.3146	0.3335	0.2075	0.2053
17	0.3068	0.3263	0.1921	0.1906
18	0.2994	0.3199	0.1804	0.1789
19	0.2931	0.3141	0.1686	0.1672
20	0.2860	0.3075	0.1598	0.1613
21	0.2792	0.3012	0.1466	0.1496
22	0.2735	0.2960	0.1298	0.1496
23	0.2673	0.2901	0.1254	0.1496
24	0.2612	0.2853	0.1173	0.1554
25	0.2554	0.2795	0.1107	0.1466
26	0.2500	0.2748	0.1041	0.1349
27	0.2446	0.2700	0.1012	0.1349
28	0.2393	0.2658	0.0931	0.1261
29	0.2341	0.2620	0.0872	0.1261
30	0.2289	0.2571	0.0828	0.1173
31	0.2242	0.2529	0.0740	0.1114
32	0.2196	0.2484	0.0696	0.0997
33	0.2152	0.2444	0.0696	0.0997
34	0.2104	0.2405	0.0652	0.0938
35	0.2066	0.2370	0.0550	0.0909
36	0.2022	0.2323	0.0528	0.0821
37	0.1984	0.2289	0.0499	0.0850
38	0.1952	0.2261	0.0499	0.0792
39	0.1920	0.2230	0.0484	0.0792
40	0.1882	0.2192	0.0469	0.0792
41	0.1849	0.2163	0.0455	0.0792
42	0.1817	0.2131	0.0440	0.0733
43	0.1783	0.2100	0.0433	0.0762
44	0.1755	0.2074	0.0418	0.0762
45	0.1719	0.2041	0.0396	0.0733
46	0.1690	0.2011	0.0396	0.0733
47	0.1663	0.1983	0.0381	0.0733
48	0.1636	0.1961	0.0381	0.0733
49	0.1610	0.1941	0.0337	0.0704
50	0.1584	0.1919	0.0337	0.0704
51	0.1556	0.1894	0.0337	0.0704
