epoch	train_logloss	val_logloss	train_error	val_error
52	0.1530	0.1871	0.0323	0.0704
53	0.1505	0.1852	0.0337	0.0645
54	0.1478	0.1823	0.0323	0.0645
55	0.1453	0.1802	0.0323	0.0645
56	0.1433	0.1783	0.0323	0.0645
57	0.1409	0.1761	0.0323	0.0704
58	0.1388	0.1743	0.0308	0.0645
59	0.1369	0.1725	0.0301	0.0616
60	0.1348	0.1711	0.0301	0.0616
61	0.1328	0.1690	0.0301	0.0616
62	0.1308	0.1671	0.0293	0.0587
63	0.1288	0.1651	0.0286	0.0616
64	0.1268	0.1633	0.0279	0.0587
65	0.1250	0.1617	0.0264	0.0587
66	0.1231	0.1600	0.0249	0.0587
67	0.1212	0.1585	0.0242	0.0557
68	0.1197	0.1574	0.0227	0.0557
69	0.1180	0.1558	0.0227	0.0557
70	0.1162	0.1537	0.0227	0.0557
71	0.1144	0.1524	0.0227	0.0557
72	0.1129	0.1507	0.0213	0.0557
73	0.1115	0.1496	0.0213	0.0557
74	0.1097	0.1478	0.0213	0.0499
75	0.1083	0.1466	0.0213	0.0499
76	0.1066	0.1450	0.0205	0.0469
77	0.1054	0.1442	0.0205	0.0469
78	0.1040	0.1428	0.0205	0.0469
79	0.1024	0.1416	0.0205	0.0469
80	0.1012	0.1404	0.0205	0.0469
81	0.1000	0.1391	0.0205	0.0469
82	0.0987	0.1379	0.0198	0.0440
83	0.0975	0.1367	0.0198	0.0440
84	0.0962	0.1353	0.0198	0.0440
85	0.0951	0.1338	0.0198	0.0440
86	0.0938	0.1322	0.0169	0.0440
87	0.0930	0.1316	0.0169	0.0440
88	0.0917	0.1298	0.0154	0.0440
89	0.0906	0.1288	0.0154	0.0440
90	0.0896	0.1276	0.0154	0.0440
91	0.0884	0.1266	0.0154	0.0440
92	0.0875	0.1258	0.0147	0.0411
93	0.0864	0.1247	0.0154	0.0440
94	0.0853	0.1235	0.0147	0.0411
95	0.0845	0.1226	0.0125	0.0381
96	0.0835	0.1215	0.0125	0.0381
97	0.0826	0.1208	0.0132	0.0411
98	0.0815	0.1198	0.0125	0.0381
99	0.0806	0.1192	0.0132	0.0411
100	0.0798	0.1183	0.0132	0.0411
101	0.0790	0.1174	0.0132	0.0411
102	0.0783	0.1167	0.0125	0.0381
103	0.0774	0.1157	0.0125	0.0381
104	0.0765	0.1148	0.0117	0.0352
105	0.0758	0.1144	0.0125	0.0381
106	0.0750	0.1136	0.0110	0.0381
107	0.0742	0.1127	0.0103	0.0352
108	0.0733	0.1117	0.0103	0.0352
109	0.0726	0.1114	0.0103	0.0352
110	0.0718	0.1106	0.0103	0.0352
111	0.0711	0.1098	0.0095	0.0323
112	0.0703	0.1090	0.0095	0.0323
113	0.0695	0.1083	0.0095	0.0323
114	0.0686	0.1074	0.0103	0.0352
115	0.0678	0.1065	0.0073	0.0293
116	0.0672	0.1056	0.0073	0.0293
117	0.0665	0.1050	0.0066	0.0323
118	0.0659	0.1044	0.0059	0.0293
119	0.0652	0.1036	0.0059	0.0293
120	0.0646	0.1030	0.0059	0.0293
121	0.0641	0.1026	0.0059	0.0293
122	0.0634	0.1019	0.0059	0.0293
123	0.0627	0.1012	0.0066	0.0323
124	0.0620	0.1006	0.0051	0.0323
125	0.0616	0.1000	0.0051	0.0323
126	0.0611	0.0997	0.0044	0.0293
127	0.0606	0.0993	0.0044	0.0293
128	0.0600	0.0983	0.0044	0.0293
129	0.0596	0.0977	0.0044	0.0293
130	0.0590	0.0970	0.0044	0.0293
131	0.0585	0.0965	0.0044	0.0293
132	0.0578	0.0959	0.0044	0.0293
133	0.0572	0.0953	0.0044	0.0293
134	0.0567	0.0946	0.0044	0.0293
135	0.0561	0.0939	0.0044	0.0293
136	0.0556	0.0934	0.0044	0.0293
137	0.0551	0.0929	0.0044	0.0293
138	0.0547	0.0927	0.0044	0.0293
139	0.0543	0.0925	0.0044	0.0293
140	0.0538	0.0922	0.0044	0.0293
141	0.0535	0.0917	0.0044	0.0293
142	0.0530	0.0912	0.0044	0.0293
143	0.0526	0.0909	0.0044	0.0293
144	0.0521	0.0903	0.0044	0.0293
145	0.0517	0.0898	0.0044	0.0293
