epoch	train_logloss	val_logloss	train_error	val_error
0	0.4845	0.4874	0.1997	0.2012
1	0.4710	0.4766	0.1997	0.2012
2	0.4567	0.4637	0.1997	0.2012
3	0.4442	0.4522	0.1997	0.2012
4	0.4321	0.4413	0.1997	0.2012
5	0.4195	0.4304	0.1997	0.2012
6	0.4080	0.4207	0.1997	0.2012
7	0.3973	0.4112	0.1997	0.2012
8	0.3874	0.4020	0.1997	0.2012
9	0.3778	0.3941	0.1997	0.2012
10	0.3688	0.3864	0.1997	0.2012
11	0.3594	0.3789	0.1997	0.2012
12	0.3509	0.3717	0.1997	0.2012
13	0.3428	0.3643	0.1997	0.2012
14	0.3349	0.3576	0.1997	0.2012
15	0.3276	0.3511	0.1997	0.2012
16	0.3208	0.3456	0.1997	0.2012
17	0.3141	0.3398	0.1829	0.1951
18	0.3072	0.3338	0.1509	0.1707
19	0.3013	0.3282	0.1402	0.1402
20	0.2949	0.3229	0.1357	0.1280
21	0.2888	0.3175	0.1296	0.1159
22	0.2834	0.3122	0.1128	0.1159
23	0.2780	0.3076	0.1037	0.1159
24	0.2729	0.3036	0.1006	0.1037
25	0.2679	0.2994	0.0976	0.0976
26	0.2635	0.2955	0.0930	0.0976
27	0.2581	0.2915	0.0930	0.0976
28	0.2530	0.2881	0.0915	0.0976
29	0.2483	0.2847	0.0884	0.0976
30	0.2438	0.2820	0.0854	0.0976
31	0.2393	0.2791	0.0869	0.0976
32	0.2351	0.2757	0.0838	0.0976
33	0.2312	0.2731	0.0808	0.0976
34	0.2274	0.2703	0.0747	0.0915
35	0.2239	0.2677	0.0732	0.0854
36	0.2200	0.2646	0.0686	0.0793
37	0.2167	0.2616	0.0655	0.0793
38	0.2138	0.2599	0.0671	0.0732
39	0.2108	0.2572	0.0625	0.0854
40	0.2075	0.2545	0.0595	0.0854
41	0.2046	0.2523	0.0579	0.0732
42	0.2017	0.2500	0.0579	0.0793
43	0.1988	0.2491	0.0564	0.0793
44	0.1965	0.2473	0.0518	0.0854
45	0.1936	0.2449	0.0503	0.0793
46	0.1912	0.2433	0.0488	0.0793
47	0.1886	0.2413	0.0488	0.0793
48	0.1862	0.2401	0.0442	0.0793
49	0.1837	0.2376	0.0442	0.0793
50	0.1811	0.2360	0.0427	0.0732
51	0.1787	0.2349	0.0427	0.0732
52	0.1764	0.2336	0.0427	0.0732
53	0.1741	0.2327	0.0427	0.0732
54	0.1722	0.2311	0.0427	0.0732
55	0.1699	0.2296	0.0412	0.0793
56	0.1678	0.2281	0.0427	0.0793
57	0.1659	0.2269	0.0427	0.0793
58	0.1640	0.2258	0.0412	0.0793
59	0.1619	0.2244	0.0412	0.0793
60	0.1603	0.2227	0.0396	0.0793
61	0.1586	0.2218	0.0396	0.0793
62	0.1570	0.2205	0.0396	0.0793
63	0.1553	0.2193	0.0381	0.0793
64	0.1535	0.2180	0.0396	0.0732
65	0.1518	0.2169	0.0381	0.0732
66	0.1502	0.2155	0.0366	0.0732
67	0.1485	0.2153	0.0351	0.0732
68	0.1470	0.2145	0.0335	0.0732
