train_logloss,valid_logloss,train_error,valid_error
0.48689710008116754,0.49033947797810157,0.19969512195121952,0.20121951219512196
0.47161704449482805,0.4762835359064544,0.19969512195121952,0.20121951219512196
0.458512927632688,0.4654129121179988,0.19969512195121952,0.20121951219512196
0.44535952472559565,0.4543828334568477,0.19969512195121952,0.20121951219512196
0.4341930798595635,0.44349584510413614,0.19969512195121952,0.20121951219512196
0.4229412964749627,0.4337522088572746,0.19969512195121952,0.20121951219512196
0.4104864356539598,0.42331137390034956,0.19969512195121952,0.20121951219512196
0.3996193886212096,0.4137553949726791,0.19969512195121952,0.20121951219512196
0.38986233133459236,0.40654204658618787,0.19969512195121952,0.20121951219512196
0.3798555927578269,0.3979646336378121,0.19969512195121952,0.20121951219512196
0.37136147112199447,0.39134294230763506,0.19969512195121952,0.20121951219512196
0.36288730279974096,0.38413343187875865,0.19969512195121952,0.20121951219512196
0.3535577367264323,0.3767336656044169,0.19969512195121952,0.20121951219512196
0.3455642691200099,0.37116923119600226,0.19969512195121952,0.20121951219512196
0.33812325536386995,0.364871003914897,0.19969512195121952,0.20121951219512196
0.33030264177246066,0.3582237183865977,0.19969512195121952,0.20121951219512196
0.32323282970706135,0.3520986812143791,0.18597560975609756,0.18902439024390244
0.31623788100735445,0.34616822231470085,0.14786585365853658,0.16463414634146342
0.30994658565103284,0.34114505704946635,0.14329268292682926,0.16463414634146342
0.30347094932434765,0.3356517423398611,0.13567073170731708,0.14634146341463414
0.29758321559738093,0.3301730423075397,0.12195121951219512,0.13414634146341464
0.2917461527011743,0.32561660249058794,0.10975609756097561,0.12804878048780488
0.28604050927863617,0.32095715994151625,0.09908536585365854,0.12195121951219512
0.2807337560282066,0.31590772074897117,0.09451219512195122,0.10975609756097561
0.2757383810537981,0.31158652683583704,0.09298780487804878,0.10365853658536585
0.27094533444359536,0.30757216114278246,0.08841463414634146,0.10975609756097561
0.2657479508439215,0.3028377381766715,0.08231707317073171,0.10365853658536585
0.2610167451884325,0.29843400305182466,0.07926829268292683,0.10365853658536585
0.256242633138488,0.29500527461854426,0.07774390243902439,0.10365853658536585
0.2516458795587646,0.2914757687689328,0.07469512195121951,0.0975609756097561
0.24709975736488293,0.2877797811042245,0.07317073170731707,0.0975609756097561
0.24260250063295044,0.28382734109352276,0.0701219512195122,0.09146341463414634
